Total population,Median age,% BachelorsDeg or higher,Unemployment rate,Per capita income,Total households,Average household size,% Owner occupied housing,% Renter occupied housing,% Vacant housing,Median home value,Population growth,House hold growth,Per capita income growth,Winner
9278,37.9,12.6,21.3,13992.0,3802,2.42,51.9,16.6,31.6,63959.0,-0.69,-0.49,0.71,Barack Obama
18594,36.3,9.7,14.3,14622.0,6764,2.55,63.7,16.2,20.1,74330.0,-0.13,0.03,0.85,Barack Obama
662628,37.9,27.9,12.1,23909.0,267862,2.41,57.0,28.8,14.2,112687.0,-0.09,0.0,0.55,Barack Obama
21292,38.9,14.1,15.7,16829.0,8547,2.47,63.5,17.1,19.4,73643.0,-0.59,-0.43,0.57,Barack Obama
13252,34.5,15.0,15.8,13012.0,5222,2.47,53.7,20.7,25.6,56642.0,-1.16,-1.03,0.69,Barack Obama
51766,36.5,20.4,9.5,22484.0,19554,2.63,71.1,16.8,12.1,114645.0,1.36,1.52,0.93,Mitt Romney
186407,41.8,25.8,10.6,23549.0,75067,2.45,55.8,14.3,29.9,159768.0,2.12,2.24,0.45,Mitt Romney
21801,36.6,8.6,12.3,16824.0,8038,2.55,69.1,17.3,13.6,80587.0,0.25,0.45,0.67,Mitt Romney
57566,38.8,11.2,11.2,18861.0,22137,2.57,74.7,15.0,10.2,108324.0,1.3,1.39,0.43,Mitt Romney
34772,39.9,11.5,18.7,17584.0,14227,2.41,61.9,19.9,18.1,79071.0,-0.46,-0.31,0.6,Mitt Romney
14318,40.7,11.5,14.0,16850.0,6000,2.36,62.4,9.8,27.7,64271.0,-1.06,-0.87,0.73,Mitt Romney
14874,40.5,11.1,10.0,17641.0,6060,2.44,71.3,17.2,11.5,86748.0,0.59,0.74,0.49,Mitt Romney
48162,35.8,15.9,12.7,18142.0,19090,2.44,53.6,29.0,17.4,87323.0,-0.17,-0.01,0.43,Mitt Romney
80859,37.0,18.9,10.7,20938.0,28059,2.67,73.6,17.0,9.4,123426.0,1.55,1.66,1.03,Mitt Romney
17690,41.2,11.0,14.8,17142.0,7395,2.35,65.5,19.0,15.5,78590.0,-0.46,-0.3,0.56,Mitt Romney
329008,37.6,37.8,8.6,26614.0,132679,2.42,62.4,26.7,10.9,144851.0,1.78,1.89,0.9,Mitt Romney
29828,41.3,9.6,16.5,18024.0,12481,2.32,64.8,18.3,16.9,77385.0,-0.49,-0.36,0.61,Mitt Romney
23425,37.8,11.9,20.7,16894.0,9329,2.49,60.5,15.1,24.5,70984.0,-0.53,-0.37,0.4,Mitt Romney
30173,33.6,21.7,11.4,16733.0,12391,2.32,54.5,26.9,18.6,78828.0,0.01,0.15,0.74,Mitt Romney
196034,37.0,40.1,8.6,34642.0,75486,2.58,73.6,17.3,9.1,194086.0,2.45,2.5,0.74,Mitt Romney
69270,41.1,10.8,12.8,17762.0,28174,2.42,65.8,16.6,17.6,78397.0,-0.23,-0.16,0.49,Mitt Romney
79931,36.5,18.3,11.8,19270.0,29322,2.54,54.9,28.3,16.8,73240.0,-0.64,-0.59,0.71,Barack Obama
23098,34.0,15.0,14.1,15140.0,8671,2.63,45.3,35.4,19.3,57080.0,-1.35,-1.25,1.08,Barack Obama
384681,36.9,31.0,7.9,27521.0,159706,2.35,54.0,35.3,10.6,105369.0,0.62,0.71,1.32,Barack Obama
42378,52.0,14.7,8.3,22220.0,19153,2.18,67.6,17.9,14.5,118998.0,0.74,0.83,0.89,Mitt Romney
220516,37.0,23.0,6.7,24912.0,82726,2.64,64.3,24.9,10.8,134857.0,2.75,2.71,1.71,Mitt Romney
37050,42.0,14.6,7.6,20402.0,15411,2.37,65.0,24.3,10.8,110931.0,0.69,0.8,0.95,Mitt Romney
5559,42.7,7.3,7.7,19369.0,2308,2.36,58.3,13.0,28.6,52086.0,-0.53,-0.39,1.01,Mitt Romney
25516,47.7,16.2,6.4,21959.0,10992,2.3,57.2,14.3,28.4,111416.0,0.15,0.23,0.85,Mitt Romney
94875,35.2,24.0,8.5,22044.0,37804,2.45,58.9,33.4,7.7,93575.0,1.55,1.61,0.76,Mitt Romney
8205,41.0,11.6,12.1,17343.0,3183,2.43,51.6,18.4,30.0,48153.0,-1.09,-1.05,1.05,Mitt Romney
18691,35.5,20.2,12.4,20225.0,7490,2.4,58.1,26.3,15.5,74894.0,-0.09,0.04,0.93,Mitt Romney
18427,40.0,13.0,7.4,18221.0,7247,2.48,68.5,19.7,11.8,82603.0,0.08,0.16,0.76,Mitt Romney
11629,46.4,12.4,8.7,18262.0,4879,2.36,61.6,14.8,23.6,84322.0,-0.04,0.04,0.83,Mitt Romney
41398,38.8,12.9,11.0,19667.0,16582,2.46,63.6,25.6,10.8,96371.0,0.8,0.87,0.79,Mitt Romney
14333,38.4,13.8,9.6,18575.0,5581,2.5,60.1,23.3,16.5,78809.0,-0.17,-0.08,0.92,Mitt Romney
34975,40.2,16.0,9.6,20274.0,14022,2.43,65.6,22.7,11.7,84749.0,-0.03,0.07,0.79,Mitt Romney
7798,42.5,11.5,11.4,17700.0,3220,2.38,52.8,14.8,32.4,47481.0,-1.03,-0.9,0.83,Mitt Romney
14228,35.8,9.3,9.5,15620.0,4181,2.55,60.8,19.5,19.7,62426.0,-0.5,-0.51,1.03,Mitt Romney
13326,40.0,9.9,8.6,19659.0,5473,2.4,62.6,19.4,18.0,71022.0,-0.3,-0.18,0.72,Mitt Romney
67762,36.4,16.7,7.1,22810.0,25304,2.65,69.6,22.2,8.1,107939.0,1.48,1.6,1.26,Mitt Romney
